aX,aY,aZ
0.076,-0.386,0.958
0.06,-0.369,0.951
0.047,-0.362,0.941
0.034,-0.361,0.924
0.032,-0.379,0.923
0.033,-0.396,0.922
0.038,-0.405,0.926
0.037,-0.407,0.941
0.037,-0.393,0.953
0.04,-0.366,0.968
0.046,-0.353,0.969
0.055,-0.354,0.955
0.062,-0.364,0.922
0.073,-0.373,0.908
0.08,-0.384,0.883
0.089,-0.393,0.881
0.094,-0.397,0.886
0.097,-0.404,0.889
0.095,-0.404,0.898
0.088,-0.407,0.905
0.079,-0.414,0.921
0.063,-0.429,0.939
0.06,-0.435,0.955
0.061,-0.428,0.956
0.063,-0.416,0.964
0.061,-0.401,0.957
0.058,-0.397,0.936
0.056,-0.4,0.919
0.056,-0.406,0.904
0.058,-0.411,0.898
0.066,-0.418,0.89
0.069,-0.425,0.893
0.067,-0.421,0.902
0.085,-0.928,1.139
0.107,-0.863,1.161
0.049,-0.738,0.965
-0.043,-0.636,0.684
-0.108,-0.637,0.517
-0.09,-0.66,0.508
-0.06,-0.684,0.588
0.003,-0.713,0.736
0.033,-0.727,0.785
0.055,-0.747,0.798
0.049,-0.737,0.78
0.008,-0.701,0.726
-0.017,-0.676,0.681
-0.025,-0.67,0.65
-0.026,-0.679,0.649
-0.036,-0.675,0.663
-0.041,-0.678,0.657
-0.047,-0.681,0.648
-0.063,-0.675,0.643
-0.094,-0.668,0.639
-0.103,-0.665,0.647
-0.098,-0.671,0.661
-0.092,-0.688,0.689
-0.1,-0.706,0.706
-0.103,-0.732,0.742
-0.093,-0.785,0.838
-0.058,-0.792,0.869
-0.046,-0.777,0.858
-0.056,-0.754,0.846
-0.061,-0.741,0.82
-0.096,-0.727,0.649
-0.118,-0.723,0.695
-0.119,-0.732,0.68
-0.112,-0.742,0.707
-0.094,-0.745,0.743
-0.079,-0.743,0.759
-0.068,-0.742,0.796
-0.053,-0.749,0.819
-0.048,-0.763,0.853
-0.05,-0.758,0.878
-0.053,-0.743,0.909
-0.062,-0.696,0.918
-0.08,-0.669,0.909
-0.094,-0.669,0.878
-0.099,-0.671,0.853
-0.105,-0.662,0.844
-0.122,-0.629,0.834
-0.129,-0.598,0.811
-0.131,-0.587,0.77
-0.118,-0.595,0.749
-0.103,-0.603,0.712
